2017-03-24,['TSLA', 'CERN', 'MYL', 'REGN', 'MELI']
2017-03-27,['TSLA', 'WYNN', 'REGN', 'CERN', 'NVDA']
2017-03-28,['CSX', 'WDC', 'FOXA', 'FOX', 'AAPL']
2017-03-29,['LILAK', 'LILA', 'REGN', 'DLTR', 'SYMC']
2017-03-30,['STX', 'WDC', 'VIAB', 'ESRX', 'DISCA']
2017-03-31,['BIIB', 'VRTX', 'DISCA', 'WYNN', 'AMZN']
2017-04-03,['MELI', 'TSLA', 'INCY', 'JD', 'HOLX']
2017-04-04,['LVNTA', 'VRTX', 'INCY', 'TSLA', 'AKAM']
2017-04-05,['VRTX', 'LILAK', 'MDLZ', 'LILA', 'LBTYK']
2017-04-06,['CMCSA', 'JD', 'BMRN', 'ILMN', 'XRAY']
2017-04-07,['SWKS', 'CTRP', 'MYL', 'TSLA', 'VRTX']
2017-04-10,['QVCA', 'MAT', 'JBHT', 'JD', 'LVNTA']
2017-04-11,['AAL', 'NVDA', 'ILMN', 'MAT', 'STX']
2017-04-12,['HSIC', 'INCY', 'MDLZ', 'JD', 'EBAY']
2017-04-13,['ALXN', 'TSLA', 'BMRN', 'BIIB', 'AVGO']
2017-04-17,['NVDA', 'NFLX', 'NCLH', 'AAL', 'GOOGL']
2017-04-18,['MCHP', 'ADI', 'WYNN', 'ORLY', 'CTRP']
2017-04-19,['DISH', 'KLAC', 'LRCX', 'ALXN', 'SIRI']
2017-04-20,['SWKS', 'FOX', 'VRTX', 'LRCX', 'MU']
2017-04-21,['MXIM', 'CSX', 'HAS', 'TSLA', 'MSFT']
2017-04-24,['BMRN', 'XLNX', 'AAL', 'ILMN', 'WDC']
2017-04-25,['NFLX', 'DISH', 'MAT', 'LBTYK', 'BIDU']
2017-04-26,['NCLH', 'ILMN', 'MAR', 'HSIC', 'HOLX']
2017-04-27,['KLAC', 'XLNX', 'INTU', 'DLTR', 'MU']
2017-04-28,['REGN', 'QCOM', 'CERN', 'AKAM', 'PYPL']
2017-05-01,['ALXN', 'TSLA', 'NFLX', 'LRCX', 'AMZN']
2017-05-02,['AAL', 'PYPL', 'ORLY', 'TSCO', 'ALXN']
2017-05-03,['WDC', 'QCOM', 'MU', 'GOOG', 'GOOGL']
2017-05-04,['REGN', 'MYL', 'XRAY', 'KHC', 'MNST']
2017-05-05,['MELI', 'TSLA', 'CHTR', 'STX', 'CTSH']
2017-05-08,['LILA', 'LILAK', 'AAPL', 'MNST', 'MU']
2017-05-09,['QVCA', 'TSLA', 'AAL', 'CTRP', 'WYNN']
2017-05-10,['NVDA', 'SYMC', 'EA', 'JD', 'NFLX']
2017-05-11,['NVDA', 'REGN', 'MYL', 'BIDU', 'JD']
2017-05-12,['AVGO', 'MELI', 'JD', 'MAT', 'QCOM']
2017-05-15,['NTES', 'NVDA', 'LILAK', 'LILA', 'REGN']
2017-05-16,['MELI', 'MCHP', 'CTRP', 'BIDU', 'EBAY']
2017-05-17,['INCY', 'LBTYA', 'KHC', 'ESRX', 'ROST']
2017-05-18,['MELI', 'TMUS', 'CTRP', 'JD', 'NVDA']
2017-05-19,['VIAB', 'BIDU', 'DISCK', 'DISCA', 'SBUX']
2017-05-22,['LILAK', 'LILA', 'ADSK', 'REGN', 'NCLH']
2017-05-23,['XRAY', 'MNST', 'MYL', 'MELI', 'INCY']
2017-05-24,['EA', 'CHTR', 'MAT', 'SIRI', 'HAS']
2017-05-25,['CSX', 'ULTA', 'DLTR', 'TSCO', 'AAL']
